Participant,ID,luc_3_cen_bef_YEL,luc_3_cen_aft_BLU,luc_3_clo_bef_RED,luc_3_clo_aft_YEL,luc_18_cen_bef_BLU,luc_18_cen_aft_RED,luc_3_cen_win_RED,luc_18_cen_win_YEL,bare_3_cen_bef_YEL,bare_3_cen_aft_BLU,bare_3_clo_bef_RED,bare_3_clo_aft_YEL,bare_18_cen_bef_BLU,bare_18_cen_aft_RED,bare_3_cen_win_RED,bare_18_cen_win_YEL,almo_3_cen_bef_YEL,almo_3_cen_aft_BLU,almo_3_clo_bef_RED,almo_3_clo_aft_YEL,almo_18_cen_bef_BLU,almo_18_cen_aft_RED,almo_3_cen_win_RED,almo_18_cen_win_YEL,Q70,Order
1,942,5,4,5,6,7,7,10,10,1,1,5,3,1,1,11,11,1,1,2,4,2,3,11,11,"I think ""lucky"" implies that the player either ""barely"" won or ""almost"" lost. To me, these last two words implied that the spinner was on the edge of the color that won– if the player ""barely"" won, the spinner was the the first starting edge of the color, and if the player ""almost"" lost, the spinner was on the second end edge of the color.",LBA
2,1001,3,3,6,6,10,10,11,11,1,1,1,1,1,1,11,11,1,1,6,6,6,6,11,11,"I think as I went along, I realized that I probably should have dealt more in absolutes in my earlier questioning. For ""barely"" and ""almost"", a person either won or they didn't. Barely and almost have nothing to do with it, they were either on the winning color, or not. In the beginning of the study, I think I had the word barely, and I just based it on how far away the spinner was from the next color. So, on the times where the spinner was close to the next color on the 3 I put a 6. I also put a 6 for every answer on the 18 (I think) because the distance to the next color appeared to be the same as in the ""close calls"" on the 3. For lucky, I just tried to make my answer reflect the probability of landing on a certain spot. Which, as I'm writing this, makes me realize that I evaluated the two spinners differently, saying that a person was more lucky on the 18 than on the 3 which is simply not true. I should have just put 3 as my answer for all the questions. Lol, you got me.",ALB
3,963,3,3,7,7,6,5,11,11,1,1,1,9,1,3,11,11,1,1,8,8,4,6,11,11,I was more responsive to lucky because I know when I have played these kinds of spinner games people often talk about luck. I think they all refer to the same concept of luck in general being more of a rarity. ,BAL
4,1015,5,5,8,8,8,8,11,11,1,1,8,9,3,8,11,11,2,1,8,9,3,8,11,11,"I realized that the questions were asking similar things, yet I do think word choice had an impact despite that. I would realize that it was basically asking the same question but it still somewhat changed the way I looked at the outcome. ",ALB
5,995,8,8,8,8,8,8,11,11,1,1,9,7,2,3,11,11,1,1,9,8,2,2,11,11,"If the player won, I thought they were the same level of ""luckiness"" no matter where the needle was on the wheel. ""Barely won"" and ""almost lost"" seemed to be the same to me.",BAL
6,1033,3,3,4,3,7,7,11,11,3,3,3,3,7,7,11,11,3,3,3,3,7,7,11,11,The probability was the same for the winner if the color was yellow because it just had to get in the range of yellow,LBA
7,974,3,4,6,6,10,10,11,11,2,2,7,8,7,7,11,11,2,1,8,6,7,6,11,11,"I understood that each of these questions were similar. Despite this, I felt I responded differently to each key word. For the word ""lucky,"" I tended to see the 3 vs 18 section wheel as opposite extremes in terms of luck, where landing on the winning color on the 18 section wheel was essentially luck, whereas the 3 section wheel could have been slightly controlled by the torque of the spin by the user. I saw ""barely"" and ""almost"" questions in a more similar sense compared to ""lucky,"" partially because the word ""lucky"" does not seem to be in the same categorical sphere as ""barely"" and ""almost."" More specifically, ""lucky"" seems to describe chance while ""barely"" and ""almost"" describe either user error or variability. Although, even for these two words, I answered in opposite sides of the scale for the 3 vs 18 section wheel due to the same reasoning above (probability).",BAL
8,1014,7,7,7,7,7,7,11,11,3,3,3,3,3,3,11,11,5,5,6,4,5,4,11,11,"Technically there is a 33.3% chance of winning each of them, so for the questions asking about how ""lucky"" the player was, I think of the player as being equally lucky on all of them. 1/3 is a pretty decent chance of winning, so I did not consider the player to be very lucky in any of the cases.  For the ""barely"" and ""almost"" questions, it is still pretty much the same thing - a 1/3 chance of winning. Although you might feel like you ""barely"" won or ""almost"" lost when the pin stops near the edge of the winning color, the odds are still the same. I varied my answers on these a little because of the feeling you get when the pin is near the edge.",LBA
9,1003,4,4,9,9,9,9,11,11,5,4,9,6,3,4,11,11,10,3,6,7,11,3,11,11,,ALB
10,955,4,4,4,4,4,4,11,11,1,1,1,1,1,1,11,11,1,1,1,1,1,1,11,11,"For both barely and almost, I felt as if those were very weak statements because there is always a 1/3 chance of winning. If you win you win. If you lose you lose. There is no in-between. However, I could see some merit in luck because that person beat the odds against them.",BAL
11,1023,6,5,8,7,9,9,11,11,1,1,5,11,5,6,11,11,3,3,6,7,6,4,11,11,"The questions using the phrasing ""barely"" and ""almost"" seemed to be asking the same question,  and I thought about them in the same way. The question using the phrasing ""lucky"", however, seemed to be a different question.",LBA
12,1037,3,3,10,10,7,7,11,11,1,1,10,10,3,3,11,11,1,1,10,10,6,6,11,11,"I thought that barely and almost were asking the same thing, basically asking how close to the edge between colors did the pointer land. I thought lucky asked something a little different, where it made me consider how high the likelihood was to land on that color overall with the width of the slice in mind, as opposed to where it landed on the slice.",ALB
13,867,6,6,6,6,6,6,11,11,3,3,8,8,8,8,11,11,3,3,8,8,8,8,11,11,"When considering ""lucky"" I didn't take into account the location of the needle or number of outcomes only the mathematical odds. When considering ""barely"" and ""almost"" I looked at where the needle was located in relation to the edge of the wining color it was on. So when the needle was near the edge of",ALB
